"2001:470:4:81::","2001:470:4:81:ffff:ffff:ffff:ffff","AR"
"2001:470:4:82::","2001:470:4:86:ffff:ffff:ffff:ffff","US"
"2001:470:4:87::","2001:470:4:87:ffff:ffff:ffff:ffff","BR"
"2001:470:4:88::","2001:470:4:88:ffff:ffff:ffff:ffff","US"
"2001:470:4:89::","2001:470:4:89:ffff:ffff:ffff:ffff","GY"
"2001:470:4:8a::","2001:470:4:8e:ffff:ffff:ffff:ffff","US"
"2001:470:4:8f::","2001:470:4:8f:ffff:ffff:ffff:ffff","PL"
"2001:470:4:90::","2001:470:4:90:ffff:ffff:ffff:ffff","US"
"2001:470:4:91::","2001:470:4:91:ffff:ffff:ffff:ffff","BG"
"2001:470:4:92::","2001:470:4:94:ffff:ffff:ffff:ffff","US"
"2001:470:4:95::","2001:470:4:95:ffff:ffff:ffff:ffff","BR"
"2001:470:4:96::","2001:470:4:96:ffff:ffff:ffff:ffff","ID"
"2001:470:4:97::","2001:470:4:a2:ffff:ffff:ffff:ffff","US"
"2001:470:4:a3::","2001:470:4:a3:ffff:ffff:ffff:ffff","TT"
"2001:470:4:a4::","2001:470:4:a4:ffff:ffff:ffff:ffff","CL"
"2001:470:4:a5::","2001:470:4:a9:ffff:ffff:ffff:ffff","US"
"2001:470:4:aa::","2001:470:4:aa:ffff:ffff:ffff:ffff","AR"
"2001:470:4:ab::","2001:470:4:ab:ffff:ffff:ffff:ffff","CO"
"2001:470:4:ac::","2001:470:4:ac:ffff:ffff:ffff:ffff","US"
"2001:470:4:ad::","2001:470:4:ad:ffff:ffff:ffff:ffff","BR"
"2001:470:4:ae::","2001:470:4:ae:ffff:ffff:ffff:ffff","US"
"2001:470:4:af::","2001:470:4:af:ffff:ffff:ffff:ffff","MX"
"2001:470:4:b0::","2001:470:4:ba:ffff:ffff:ffff:ffff","US"
"2001:470:4:bb::","2001:470:4:bb:ffff:ffff:ffff:ffff","PL"
"2001:470:4:bc::","2001:470:4:bc:ffff:ffff:ffff:ffff","DE"
"2001:470:4:bd::","2001:470:4:bd:ffff:ffff:ffff:ffff","US"
"2001:470:4:be::","2001:470:4:be:ffff:ffff:ffff:ffff","HU"
"2001:470:4:bf::","2001:470:4:c0:ffff:ffff:ffff:ffff","US"
"2001:470:4:c1::","2001:470:4:c1:ffff:ffff:ffff:ffff","PR"
"2001:470:4:c2::","2001:470:4:c3:ffff:ffff:ffff:ffff","US"
"2001:470:4:c4::","2001:470:4:c4:ffff:ffff:ffff:ffff","BR"
"2001:470:4:c5::","2001:470:4:c5:ffff:ffff:ffff:ffff","PE"
"2001:470:4:c6::","2001:470:4:cb:ffff:ffff:ffff:ffff","US"
"2001:470:4:cc::","2001:470:4:cc:ffff:ffff:ffff:ffff","CU"
"2001:470:4:cd::","2001:470:4:d2:ffff:ffff:ffff:ffff","US"
"2001:470:4:d3::","2001:470:4:d3:ffff:ffff:ffff:ffff","PE"
"2001:470:4:d4::","2001:470:4:d5:ffff:ffff:ffff:ffff","US"
"2001:470:4:d6::","2001:470:4:d6:ffff:ffff:ffff:ffff","CU"
"2001:470:4:d7::","2001:470:4:dc:ffff:ffff:ffff:ffff","US"
"2001:470:4:dd::","2001:470:4:dd:ffff:ffff:ffff:ffff","UK"
"2001:470:4:de::","2001:470:4:de:ffff:ffff:ffff:ffff","HU"
"2001:470:4:df::","2001:470:4:e2:ffff:ffff:ffff:ffff","US"
"2001:470:4:e3::","2001:470:4:e3:ffff:ffff:ffff:ffff","TT"
"2001:470:4:e4::","2001:470:4:e6:ffff:ffff:ffff:ffff","US"
"2001:470:4:e7::","2001:470:4:e7:ffff:ffff:ffff:ffff","UA"
"2001:470:4:e8::","2001:470:4:ec:ffff:ffff:ffff:ffff","US"
"2001:470:4:ed::","2001:470:4:ed:ffff:ffff:ffff:ffff","BR"
"2001:470:4:ee::","2001:470:4:f1:ffff:ffff:ffff:ffff","US"
"2001:470:4:f2::","2001:470:4:f2:ffff:ffff:ffff:ffff","CU"
"2001:470:4:f3::","2001:470:4:102:ffff:ffff:ffff:ffff","US"
"2001:470:4:103::","2001:470:4:103:ffff:ffff:ffff:ffff","PA"
"2001:470:4:104::","2001:470:4:106:ffff:ffff:ffff:ffff","US"
"2001:470:4:107::","2001:470:4:107:ffff:ffff:ffff:ffff","TT"
"2001:470:4:108::","2001:470:4:10e:ffff:ffff:ffff:ffff","US"
"2001:470:4:10f::","2001:470:4:10f:ffff:ffff:ffff:ffff","AN"
"2001:470:4:110::","2001:470:4:110:ffff:ffff:ffff:ffff","US"
"2001:470:4:111::","2001:470:4:111:ffff:ffff:ffff:ffff","BR"
"2001:470:4:112::","2001:470:4:113:ffff:ffff:ffff:ffff","US"
"2001:470:4:114::","2001:470:4:114:ffff:ffff:ffff:ffff","BR"
"2001:470:4:115::","2001:470:4:116:ffff:ffff:ffff:ffff","US"
"2001:470:4:117::","2001:470:4:117:ffff:ffff:ffff:ffff","BR"
"2001:470:4:118::","2001:470:4:118:ffff:ffff:ffff:ffff","TH"
"2001:470:4:119::","2001:470:4:11a:ffff:ffff:ffff:ffff","US"
"2001:470:4:11b::","2001:470:4:11b:ffff:ffff:ffff:ffff","JM"
"2001:470:4:11c::","2001:470:4:11d:ffff:ffff:ffff:ffff","US"
"2001:470:4:11e::","2001:470:4:11e:ffff:ffff:ffff:ffff","CO"
"2001:470:4:11f::","2001:470:4:128:ffff:ffff:ffff:ffff","US"
"2001:470:4:129::","2001:470:4:129:ffff:ffff:ffff:ffff","TT"
"2001:470:4:12a::","2001:470:4:12f:ffff:ffff:ffff:ffff","US"
"2001:470:4:130::","2001:470:4:131:ffff:ffff:ffff:ffff","AR"
"2001:470:4:132::","2001:470:4:134:ffff:ffff:ffff:ffff","US"
"2001:470:4:135::","2001:470:4:135:ffff:ffff:ffff:ffff","BR"
"2001:470:4:136::","2001:470:4:136:ffff:ffff:ffff:ffff","US"
"2001:470:4:137::","2001:470:4:137:ffff:ffff:ffff:ffff","CO"
"2001:470:4:138::","2001:470:4:13d:ffff:ffff:ffff:ffff","US"
"2001:470:4:13e::","2001:470:4:13e:ffff:ffff:ffff:ffff","JP"
